Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Keysiht MC

Series
;R positive (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R positive (1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance [Ohm]

;R negative (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R negative (1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for R positive (1V) [Ohm];Y data for R positive (1V) [Ohm];X data for R negative (1V) [Ohm];Y data for R negative (1V) [Ohm];
;249;299.557316671126;2661.35106147987;299.557316671126;2698.50907373676;
;250;300.755533335032;2694.64789036017;300.755533335032;2733.8164898343;
;251;301.959583332064;2724.64715819301;301.959583332064;2765.32612873699;
;252;303.164166669594;2750.033000396;303.164166669594;2791.90793404397;
;253;304.356250001583;2769.4770396506;304.356250001583;2812.91578411434;
;254;305.549349995563;2782.46933023181;305.549349995563;2827.30269668131;
;255;306.755816662917;2788.60686778099;306.755816662917;2834.52336072428;
;256;307.963300002739;2787.7672771877;307.963300002739;2834.6599541919;
;257;309.165049995063;2780.51194785984;309.165049995063;2828.18227069098;
;258;310.369633332593;2767.61448237306;310.369633332593;2815.3549458748;
;259;311.570783337811;2749.05776045261;311.570783337811;2796.60045248995;
;260;312.776450004894;2725.12235799387;312.776450004894;2772.0949830625;
;261;313.978449997958;2696.77708170965;313.978449997958;2742.91231457913;
;262;315.18100000103;2664.52083921748;315.18100000103;2709.30755517505;
;263;316.382133336738;2628.77722427413;316.382133336738;2672.16776938123;
;264;317.586333327927;2590.34474898264;317.586333327927;2632.09151255771;
;265;318.783966663759;2549.68052503021;318.783966663759;2589.32524773369;
;266;319.972350003663;2505.75697665386;319.972350003663;2543.76548517239;
;267;321.174433333799;2459.40747955003;321.174433333799;2495.35240614356;
;268;322.377183329081;2411.12589934996;322.377183329081;2445.2328962072;
;269;323.583149994956;2361.65986902234;323.583149994956;2393.93663728508;
;270;324.780349996872;2310.26914635555;324.780349996872;2340.96096447592;
;271;325.977566668298;2257.76445195026;325.977566668298;2286.86948149808;
;272;327.177650002996;2205.4558566983;327.177650002996;2233.15475539139;
