Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;4 point R [Ohm]

Series
;4wR_fwd [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_fwd [Ohm] Y-expression: $N16.M4
;Assigned to Axis: Resistance [Ohm]

;4wR_rev [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_rev [Ohm] Y-expression: $N17.DF1
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 4wR_fwd [Ohm];Y data for 4wR_fwd [Ohm];X data for 4wR_rev [Ohm];Y data for 4wR_rev [Ohm];
;121;145.672883335501;3196.944;145.672883335501;3364.434;
;122;146.876350004459;3111.036;146.876350004459;3277.915;
;123;148.079066671198;3026.275;148.079066671198;3192.53;
;124;149.278833337594;2942.831;149.278833337594;3108.344;
;125;150.485249996418;2859.627;150.485249996418;3024.475;
;126;151.680833328282;2777.982;151.680833328282;2942.16;
;127;152.88221666473;2697.487;152.88221666473;2860.905;
;128;154.087183338124;2618.362;154.087183338124;2781.031;
;129;155.294316670625;2540.75;155.294316670625;2702.635;
;130;156.494833328761;2465.349;156.494833328761;2626.537;
;131;157.695200003218;2392.612;157.695200003218;2553.062;
;132;158.896599998698;2322.424;158.896599998698;2482.138;
;133;160.10016666376;2255.006;160.10016666376;2413.964;
;134;161.303433330031;2190.374;161.303433330031;2348.609;
;135;162.510133328615;2128.718;162.510133328615;2286.131;
;136;163.71123333578;2070.054;163.71123333578;2226.753;
;137;164.90514999954;2014.941;164.90514999954;2170.83;
;138;166.098500004737;1962.387;166.098500004737;2117.458;
;139;167.302716665436;1911.96;167.302716665436;2066.159;
;140;168.505166661926;1863.965;168.505166661926;2017.333;
;141;169.70650000032;1818.168;169.70650000032;1970.626;
;142;170.917700001737;1774.278;170.917700001737;1925.796;
;143;172.1150333283;1732.278;172.1150333283;1882.896;
;144;173.308466670569;1692.155;173.308466670569;1841.852;
;145;174.511199996341;1653.412;174.511199996341;1802.146;
;146;175.71418333333;1616.058;175.71418333333;1763.883;
;147;176.918150003767;1580.065;176.918150003767;1726.968;
;148;178.12271666131;1545.315;178.12271666131;1691.34;
;149;179.325633330736;1511.775;179.325633330736;1656.899;
;150;180.528116666246;1479.51;180.528116666246;1623.719;
;151;181.726633328944;1448.604;181.726633328944;1591.943;
;152;182.929233330069;1418.529;182.929233330069;1560.997;
;153;184.132366671693;1389.555;184.132366671693;1531.129;
;154;185.328166665277;1361.785;185.328166665277;1502.488;
;155;186.525250001578;1334.947;186.525250001578;1474.732;
;156;187.72879999713;1308.868;187.72879999713;1447.762;
;157;188.933383334661;1283.743;188.933383334661;1421.719;
;158;190.138500002213;1259.492;190.138500002213;1396.602;
;159;191.342983333161;1236.065;191.342983333161;1372.254;
;160;192.547333328985;1213.435;192.547333328985;1348.714;
;161;193.750866665505;1191.599;193.750866665505;1325.991;
;162;194.955466662068;1170.447;194.955466662068;1303.942;
;163;196.164016661933;1150.011;196.164016661933;1282.595;
;164;197.367799999192;1189.625;197.367799999192;1262.778;
;165;198.576349999057;1170.041;198.576349999057;1181.775;
;166;199.773766662693;1151.174;199.773766662693;1162.853;
;167;200.977333338233;1132.815;200.977333338233;1144.468;
;168;202.180566665484;1115.125;202.180566665484;1126.738;
;169;203.384916661307;1098.017;203.384916661307;1109.582;
;170;204.583983334014;1081.547;204.583983334014;1093.055;
;171;205.786516667577;1065.517;205.786516667577;1076.981;
;172;206.988516671117;1049.962;206.988516671117;1061.396;
;173;208.190266663441;1034.999;208.190266663441;1046.387;
;174;209.38879999565;1020.623;209.38879999565;1031.959;
;175;210.591500003356;1006.632;210.591500003356;1017.928;
;176;211.79563333746;993.119;211.79563333746;1004.37;
;177;212.998666662024;980.1071;212.998666662024;991.3104;
;178;214.196400004439;967.6179;214.196400004439;978.776;
;179;215.399783336325;955.4973;215.399783336325;966.614;
;180;216.606033331482;943.8561;216.606033331482;954.928;
;181;217.800833332585;932.7904;217.800833332585;943.8313;
;182;219.004966666689;922.1871;219.004966666689;933.1903;
;183;220.211983333575;912.0721;220.211983333575;923.0405;
;184;221.414166670293;902.4282;221.414166670293;913.3667;
;185;222.617133337772;893.3252;222.617133337772;904.2361;
;186;223.820883336011;884.7362;223.820883336011;895.6159;
;187;225.025183333782;876.6507;225.025183333782;887.5075;
;188;226.228966671042;869.0516;226.228966671042;879.8847;
;189;227.433099994669;861.9822;227.433099994669;872.787;
;190;228.636966669001;855.4179;228.636966669001;866.2064;
;191;229.831883335719;849.4903;229.831883335719;860.2664;
;192;231.038883333094;844.0807;231.038883333094;854.8335;
;193;232.237883338239;839.2653;232.237883338239;849.9964;
;194;233.439016663469;835.0425;233.439016663469;845.7697;
;195;234.641650003614;831.4319;234.641650003614;842.1537;
;196;235.845449999906;828.4656;235.845449999906;839.1837;
;197;237.047966663958;826.1598;237.047966663958;836.8739;
;198;238.244849997573;824.5449;238.244849997573;835.2408;
;199;239.447383331135;823.7105;239.447383331135;834.4272;
;200;240.650599999353;823.6482;240.650599999353;834.3799;
;201;241.847433334915;824.4055;241.847433334915;835.1636;
