Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Seebeck

Series
;Delta T [C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Delta T [C] Y-expression: (TCS($N7.MV.TT2($N6.M2)))-(TCS($N8.MV.TT2($N6.M2)))
;Assigned to Axis: delta T [°C]

;Thermovoltage forw  [V] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Thermovoltage forw  [V] Y-expression: $N9.DF1
;Assigned to Axis: Thermo voltage [V]

;Seebeck (back thermo) [V/K] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Seebeck (back thermo) [V/K] Y-expression: $N10.DF1/(TCS($N7.MV. TT2($N6.M2))-TCS($N8.MV. TT2($N6.M2)))
;Assigned to Axis: Seebeck [V/K]

;Thermovoltage back [V] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Thermovoltage back [V] Y-expression: $N10.DF1
;Assigned to Axis: Thermo voltage [V]

Data
;Index;X data for Delta T [C];Y data for Delta T [C];X data for Thermovoltage forw  [V];Y data for Thermovoltage forw  [V];X data for Seebeck (back thermo) [V/K];Y data for Seebeck (back thermo) [V/K];X data for Thermovoltage back [V];Y data for Thermovoltage back [V];
;363;436.673816666007;11.6879044661361;436.673816666007;0.1287394;436.673816666007;-0.0110012021720868;436.673816666007;-0.128581;
;364;437.885383333778;11.7900164993393;437.885383333778;0.1305309;437.885383333778;-0.0110590345660081;437.885383333778;-0.1303862;
;365;439.09773333231;11.8056921896759;439.09773333231;0.1323231;439.09773333231;-0.011196852999064;439.09773333231;-0.1321866;
;366;440.310616671341;11.8736511133786;440.310616671341;0.1341127;440.310616671341;-0.0112842965251886;440.310616671341;-0.1339858;
;367;441.516099994769;11.9085102184533;441.516099994769;0.1359381;441.516099994769;-0.0114050118367905;441.516099994769;-0.1358167;
;368;442.727650003508;11.9540782264992;442.727650003508;0.1377077;442.727650003508;-0.0115106407531262;442.727650003508;-0.1375991;
;369;443.947449994739;11.9790813872584;443.947449994739;0.1394875;443.947449994739;-0.0116360508367747;443.947449994739;-0.1393892;
;370;445.15901666251;12.0201116589395;445.15901666251;0.1413505;445.15901666251;-0.0117511470781514;445.15901666251;-0.1412501;
;371;446.37110000127;12.0910951381887;446.37110000127;0.1431881;446.37110000127;-0.0118347509770265;446.37110000127;-0.1430951;
;372;447.587683332385;12.0946687922889;447.587683332385;0.1450129;447.587683332385;-0.0119831474915959;447.587683332385;-0.1449322;
;373;448.800250003114;12.1583497473173;448.800250003114;0.1467685;448.800250003114;-0.0120654449862628;448.800250003114;-0.1466959;
;374;450.012083330657;12.2086033906818;450.012083330657;0.1485603;450.012083330657;-0.0121628408465898;450.012083330657;-0.1484913;
;375;451.228933332022;12.2439612974659;451.228933332022;0.1503543;451.228933332022;-0.0122748509529432;451.228933332022;-0.1502928;
;376;452.440499999793;12.3026629773314;452.440499999793;0.1521545;452.440499999793;-0.0123631607466006;452.440499999793;-0.1520998;
;377;453.652533330023;12.3572319615131;453.652533330023;0.1540429;453.652533330023;-0.0124613748839221;453.652533330023;-0.1539881;
;378;454.865583332721;12.3927829183813;454.865583332721;0.1558995;454.865583332721;-0.0125761260425884;454.865583332721;-0.1558532;
;379;456.076449996326;12.3851179473993;456.076449996326;0.157754;456.076449996326;-0.0127339037601267;456.076449996326;-0.1577109;
;380;457.287716665305;12.4933176163965;457.287716665305;0.1598343;457.287716665305;-0.0127885566432981;457.287716665305;-0.1597715;
;381;458.498649996473;12.4813055454952;458.498649996473;0.1618052;458.498649996473;-0.0129595577490194;458.498649996473;-0.1617522;
;382;459.714399998775;12.5635224245828;459.714399998775;0.163753;459.714399998775;-0.0130308120977017;459.714399998775;-0.1637129;
;383;460.928599998588;12.630494223657;460.928599998588;0.1656955;460.928599998588;-0.0131159079816304;460.928599998588;-0.1656604;
;384;462.143016670598;12.6063300487598;462.143016670598;0.1676255;462.143016670598;-0.0132948764114334;462.143016670598;-0.1675996;
;385;463.356716668932;12.6771255593839;463.356716668932;0.1695496;463.356716668932;-0.0133729053329846;463.356716668932;-0.16953;
;386;464.56611666712;12.7363275830096;464.56611666712;0.1714693;464.56611666712;-0.0134617768648414;464.56611666712;-0.1714536;
;387;465.763316669036;12.7091533180017;465.763316669036;0.1733767;465.763316669036;-0.0136412076919739;465.763316669036;-0.1733682;
;388;466.976083331974;12.7958337046408;466.976083331974;0.1752817;466.976083331974;-0.0136982711752833;466.976083331974;-0.1752808;
