Measurement
;BCTZ_16cikel za lukata loceno
Graph
;Keysiht MC

Series
;R (+1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (+1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance

;Electrometer avg [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Electrometer avg [Ohm] Y-expression: ($N12.DF3+$N13.DF3)/2
;Assigned to Axis: Resistance

;R (-1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (-1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance

Data
;Index;X data for R (+1V) [Ohm];Y data for R (+1V) [Ohm];X data for Electrometer avg [Ohm];Y data for Electrometer avg [Ohm];X data for R (-1V) [Ohm];Y data for R (-1V) [Ohm];
;63;719.963333333144;520833333333.333;719.963333280757;290107878068.092;719.963333333144;59382422802.8504;
;64;720.914783341577;172117039586.919;720.9147833311;7688613837.3465;720.914783341577;-156739811912.226;
;65;721.862183340127;85034013605.4422;721.862183235353;73286237571.9518;721.862183340127;61538461538.4615;
;66;722.812750000739;51124744376.2781;722.812749990262;69810159798.7585;722.812750000739;88495575221.2389;
;67;723.764183339663;87183958151.7001;723.764183329185;3073340502.1061;723.764183339663;-81037277147.4879;
;68;724.715366667369;95969289827.2553;724.715366552118;1089651311580.29;724.715366667369;2083333333333.33;
;69;725.663033336168;-98619329388.5602;725.663033283781;3046356248.1284;725.663033336168;104712041884.817;
;70;726.611083340831;290697674418.605;726.611083351308;14458784853.2815;726.611083340831;-261780104712.042;
;71;727.559100006474;155520995334.37;727.559100006474;16485987863.2635;727.559100006474;-122549019607.843;
;72;728.507083333097;-917431192660.55;728.507083249278;-389174567123.043;728.507083333097;139082058414.465;
;73;729.456699999282;173611111111.111;729.456699894508;243545367467.781;729.456699999282;313479623824.451;
;74;730.40465000784;-595238095238.095;730.404650018318;-118407578084.998;730.40465000784;358422939068.1;
;75;731.355900003109;-149031296572.28;731.355899908813;-308160508099.224;731.355900003109;-467289719626.168;
;76;732.305783339543;174216027874.564;732.30578323477;-515301624616.933;732.305783339543;-1204819277108.43;
;77;733.255633336958;118483412322.275;733.255633305525;-515470937517.023;733.255633336958;-1149425287356.32;
;78;734.203566665528;-892857142857.143;734.203566581709;1553571428571.43;734.203566665528;4000000000000;
;79;735.151583341649;-1515151515151.52;735.151583236875;-613067087055.529;735.151583341649;289017341040.462;
;80;736.100950007094;-171232876712.329;736.100949891843;424587643276.491;736.100950007094;1020408163265.31;
